Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
The Rookery Care Centre,Care Home Service,Adults Without Nursing,The Rookery Residential Home,Queen Square,Ebbw Vale,NP23 6EF,Blaenau Gwent,01495302221,manager@rookerycare.co.uk,41,Rookery Care Ltd,1,12480004,1,Kevin Groombridge,,English,2020-09-22,SIN-00011840-NMPV,51.778677,-3.205291
Woffington House,Care Home Service,Adults Without Nursing,Forestgate Healthcare Ltd,Rear Earl Street,Tredegar,NP22 3QW,Blaenau Gwent,01495717667,Racheljoseph27@outlook.com,36,Forest Gate Healthcare Ltd,3,05921531,3,Ian Hutchinson,,English,2019-05-13,SIN-00010109-SMJV,51.773816,-3.248963
Bellwave House,Care Home Service,Adults Without Nursing,23 Mary Street,,Porthcawl,CF36 3YL,Bridgend,01656 773427,tracey.wyllis@serendipitycare.com,8,Serendipity Care and Support Ltd,2,07671995,1,Matthew Penpraze,,English,2018-10-04,SIN-00009850-CNPN,51.47723,-3.70547
Breakaway Short Stay Service,Care Home Service,Adults Without Nursing,14-16 Abbey Road,Kenfig Hill,Bridgend,CF33 6HF,Bridgend,01656743295,rebecca.pratt@bridgend.gov.uk,6,Bridgend County Borough Council Adults and Children's Services,6,,6,Jane Lewis,,,2018-09-21,SIN-00009507-GGML,51.533072,-3.686303
Breaksea Care Home,Care Home Service,Adults Without Nursing,Breaksea Residential Home,The Square,Porthcawl,CF36 3BW,Bridgend,01656771022,breakseacare@hotmail.com,32,breaksea residential homes ltd,2,04117189,2,Marcus Rossini,,English,2019-05-29,SIN-00009951-VBRM,51.47605,-3.703136
Bryn Y Cae Residential Services for older people,Care Home Service,Adults Without Nursing,Cae Bracla,Brackla,Bridgend,CF31 2HF,Bridgend,01656815545,psbrynycaehfe@bridgend.gov.uk,37,Bridgend County Borough Council Adults and Children's Services,6,,4,Jane Lewis,,,2018-09-21,SIN-00009503-WVBD,51.509076,-3.561904
Bryntirion,Care Home Service,Adults Without Nursing,Bryntirion,Hendre Road,Bridgend,CF35 6PU,Bridgend,01656378041,olu.fabusuyi@orbis-group.co.uk,4,Orbis Education and Care Limited,8,05521347,4,Olubunmi Fabusuyi,,English,2018-07-24,SIN-00015831-FMYH,51.527289,-3.524785
Claremont Care Home,Care Home Service,Adults Without Nursing,30 Ewenny Road,,Bridgend,CF31 3HR,Bridgend,01656766495,liamgeorge23@aol.com,21,Claremont Partnership,1,,1,Liam George,,English,2018-10-01,SIN-00009704-BGRH,51.500433,-3.576133
Green Gables,Care Home Service,Adults Without Nursing,Green Gables,Pen-y-fai Road,Bridgend,CF32 9AA,Bridgend,01656 720809,info.Greengables@swantoncare.com,5,SWANTON CARE & COMMUNITY LIMITED,24,05789785,2,Kate Townsley,,English,2025-02-04,SIN-00014765-QGCM,51.535479,-3.595841
Llys Gwyn Residential Home,Care Home Service,Adults Without Nursing,Llys Gwyn Residential Home,Heol Broom Maudlam,Bridgend,CF33 4PN,Bridgend,01656743666,contact@llysgwyn.com,31,Grayson Enterprises Ltd,1,01288163,1,Swarnlata Bansal,,English,2018-12-21,SIN-00008795-QMGP,51.521991,-3.719278
Newton Care Home,Care Home Service,Adults Without Nursing,Newton Care Home,280-288,Porthcawl,CF36 5PL,Bridgend,01656771022,newtoncare@hotmail.com,35,breaksea residential homes ltd,2,04117189,1,Marcus Rossini,,English,2019-05-29,SIN-00009950-TLKD,51.483242,-3.680202
Oakley House,Care Home Service,Adults Without Nursing,11 Mary Street,,Porthcawl,CF36 3YL,Bridgend,01656783203,oakleymanager@positivelifestylesporthcawl.com,5,Positive Lifestyles (Porthcawl) Limited,3,04683471,2,Emma Anyadike,,English,2019-07-17,SIN-00010426-SDSY,51.47723,-3.70547
Pen Y Fai House,Care Home Service,Adults Without Nursing,Penyfai House,Pen-y-fai Road,Bridgend,CF32 9AA,Bridgend,01656 729885,info.Penyfaihouse@swantoncare.com,1,SWANTON CARE & COMMUNITY LIMITED,24,05789785,3,Kate Townsley,,English,2025-02-04,SIN-00014766-CCSD,51.535479,-3.595841
Sunny Hill,Care Home Service,Adults Without Nursing,Roger's Lane,Llangewydd,Bridgend,CF32 0EU,Bridgend,01656 670836,info.Sunnyhill@swantoncare.com,1,SWANTON CARE & COMMUNITY LIMITED,24,05789785,4,Kate Townsley,,English,2025-02-04,SIN-00014767-HWPX,51.527473,-3.637196
The Oaklands Residential Home,Care Home Service,Adults Without Nursing,The Oaklands Residential Home,2 Oaklands Drive,Bridgend,CF31 4SH,Bridgend,01656665459,louise@oaklandsemail.co.uk,18,The Oaklands Residential Home,1,,1,Louise Bertorelli,,English,2019-04-16,SIN-00009659-SPTX,51.50576,-3.59319
The Old Vicarage,Care Home Service,Adults Without Nursing,The Old Vicarage,,Bridgend,CF35 6EL,Bridgend,01656 841508,info.Theoldvicarage@swantoncare.com,4,SWANTON CARE & COMMUNITY LIMITED,24,05789785,5,Kate Townsley,,English,2025-02-04,SIN-00014768-NGJV,51.574789,-3.506705
The Willows,Care Home Service,Adults Without Nursing,28 The Willows,Brackla,Bridgend,CF31 2HD,Bridgend,01656659933,tom@ahcare.co.uk,4,Amethyst Healthcare Ltd,5,06132655,3,Helen Randall,,English,2019-04-09,SIN-00008923-DDLG,51.507223,-3.565357
Ty Cwm Ogwr Residential Home for Older People,Care Home Service,Adults Without Nursing,Ty Cwm Ogwr,Dan-yr-heol,Bridgend,CF32 7HY,Bridgend,01656815054,pstycwmogwrrc@bridgend.gov.uk,28,Bridgend County Borough Council Adults and Children's Services,6,,5,Jane Lewis,,,2018-09-21,SIN-00009506-HQKF,51.578083,-3.545175
Ty Cysgu,Care Home Service,Adults Without Nursing,153 Hendre Road,Pencoed,Bridgend,CF35 6TN,Bridgend,01656 722769,info@tyteulu.co.uk,3,Ty Cysgu Limited,3,08742725,3,Lynda Hale,,English,2018-10-24,SIN-00009750-SGXY,51.525081,-3.511305
Ty Ynysawdre,Care Home Service,Adults Without Nursing,Ty Ynysawdre,Heol-yr-ysgol Tondu,Bridgend,CF32 9EG,Bridgend,01656754951,kay.rees@bridgend.gov.uk,15,Bridgend County Borough Council Adults and Children's Services,6,,12,Jane Lewis,,,2018-09-21,SIN-00010553-FPQT,51.546857,-3.589072
Abbey Lodge,Care Home Service,Adults Without Nursing,3 Llys Deri Commercial Street,Ynysddu,Newport,NP11 7JA,Caerphilly,01495200698,wendy.gloster@abbeyambitions.co.uk,4,Abbey Ambitions,2,,1,Samuel Gloster,,English,2018-08-17,SIN-00008540-KWGC,51.626172,-3.185513
Bargoed Care Home,Care Home Service,Adults With Nursing,Bargoed Care Home,Heol Fargoed,Bargoed,CF81 8PQ,Caerphilly,01443879005,manager@bargoedcare.co.uk,45,Omnia Care Home Group Ltd,1,12563504,1,Tariq Khan,,,2020-11-02,SIN-00012058-YCBW,51.683829,-3.233322
Beechlea,Care Home Service,Adults Without Nursing,14 Pantycefn Road,Markham,Blackwood,NP12 0QD,Caerphilly,01495221583,wendy.gloster@abbeyambitions.co.uk,4,Abbey Ambitions,2,,2,Samuel Gloster,,English,2018-08-17,SIN-00008541-RVYX,51.703556,-3.207447
Bramble Cottage,Care Home Service,Adults Without Nursing,Bramble Cottage,Cwm-yr-allt Lane,Hengoed,CF82 8AW,Caerphilly,01443 822709,info.Bramblecottage@swantoncare.com,3,SWANTON CARE & COMMUNITY LIMITED,24,05789785,16,Kate Townsley,,English,2025-02-04,SIN-00014779-FXXH,51.667927,-3.235478
Comfort Care Homes (Glan Yr Afon) Ltd,Care Home Service,Adults With Nursing,Glan-yr-afon Care Home,Glan-yr-afon Lane Fleur De Lis,Blackwood,NP12 3WA,Caerphilly,01443835196,info.glanyrafoncarehome@gmail.com,39,Comfort Care Homes (Glan Yr Afon) Ltd,1,08689105,1,Swarnlata Bansal,,English,2018-12-17,SIN-00009997-VPXP,51.666187,-3.225641
Crown Lodge,Care Home Service,Adults Without Nursing,1 Crown Street,Crumlin,Newport,NP11 4PR,Caerphilly,01495246671,morgan@cartreficwtchltd.co.uk,4,Cartrefi Cwtch Ltd,2,13516275,2,Nichola Evans,,English,2022-05-04,SIN-00012976-MRTG,51.676686,-3.140101
Cwm Hyfryd,Care Home Service,Adults Without Nursing,48 Severn Road,Pontllanfraith,Blackwood,NP12 2GA,Caerphilly,01495227703,Annmarie.harris@achievetogether.co.uk,5,Achieve together Ltd,17,03153442,2,rachael Hawkins,,English,2019-01-17,SIN-00012457-HMLC,51.652561,-3.205165
Forest House Residential Care Home for Adults with Learning Difficulties,Care Home Service,Adults Without Nursing,2 Hafod Tudor Terrace,Wattsville,Newport,NP11 7QQ,Caerphilly,01495272782,dhunt4@sky.com,3,Dean Hunt,1,,1,Dean Hunt,,English,,SIN-00009125-PVDD,51.616732,-3.151136
Glencourt,Care Home Service,Adults Without Nursing,54 Hillside Park,,Bargoed,CF81 8NL,Caerphilly,01443 821091,jessica.hopkins@achievetogether.co.uk,5,Achieve together Ltd,17,03153442,10,rachael Hawkins,,English,2019-01-17,SIN-00012502-PBBX,51.682481,-3.231578
Hill View Care Home Ltd,Care Home Service,Adults Without Nursing,Hill View Care Home,Commercial Street,Bargoed,CF81 9BU,Caerphilly,01443803493,admin@hillviewcarehome.co.uk,34,HILL VIEW CARE HOME LIMITED,2,10072102,1,Amjad Ali,,English,2018-12-17,SIN-00010291-JCMB,51.693448,-3.224135
James Street Bungalow,Care Home Service,Adults Without Nursing,76 James Street,Markham,Blackwood,NP12 0QP,Caerphilly,07388 445902,sgriffiths@prospersupport.co.uk,3,PROSPER CARE & SUPPORT LIMITED,5,12589173,3,Stuart Griffiths,,English,2021-11-22,SIN-00016087-SKVR,51.701973,-3.201341
Millbrook Care Home Ltd,Care Home Service,Adults Without Nursing,Millbrook Residential Home,Gelligroes Road Pontllanfraith,Blackwood,NP12 2JU,Caerphilly,01495225861,milbrookhome@gmail.com,50,HILL VIEW CARE HOME LIMITED,2,10072102,2,Amjad Ali,,English,2018-12-17,SIN-00010292-FXQX,51.650959,-3.190292
Oak View Nursing Home,Care Home Service,Adults With Nursing,Oak View Nursing Home,Southend Terrace Pontlottyn,Bargoed,CF81 9RN,Caerphilly,01685707031,cerys.morris@oakviewhome.co.uk,16,Oak View Pontlottyn Limited,1,13430101,1,Cerys Morris,,English,2021-11-30,SIN-00012780-JHYN,51.740702,-3.275482
Oakdale Manor,Care Home Service,Adults Without Nursing,Oakdale Manor Residential Home,Rhiw Syr Dafydd,Blackwood,NP12 0JJ,Caerphilly,01495230900,Oakdalemanor@btconnect.com,31,Forest Gate Healthcare Ltd,3,05921531,2,Ian Hutchinson,,English,2019-05-13,SIN-00010108-CYJG,51.681281,-3.179271
Pen Y Coed,Care Home Service,Adults Without Nursing,Pen Y Coed,Parkway,Newport,NP11 3EF,Caerphilly,01495 212712,info.Penycoed@swantoncare.com,6,SWANTON CARE & COMMUNITY LIMITED,24,05789785,17,Kate Townsley,,English,2025-02-04,SIN-00014780-BNMF,51.693322,-3.159327
Pride in Care Residential Home,Care Home Service,Adults Without Nursing,Pride In Care Ltd,Newport House,Tredegar,NP22 5AE,Caerphilly,01685652640,claire@prideincare.com,5,pride in care ltd,4,08251805,4,Nigel Hobbs,,English,2018-10-10,SIN-00009527-LHRG,51.746187,-3.273783
Rachel Kathryn Residential Home,Care Home Service,Adults Without Nursing,Bridge Farm,High Street,Blackwood,NP12 0HG,Caerphilly,01495221320,claire@prideincare.com,4,Dawn Hobbs,1,,1,Elizabeth Hobbs,,English,,SIN-00008571-YFTB,51.692411,-3.191047
Saer Coed,Care Home Service,Adults Without Nursing,Saer Coed,Load Of Hay Road,Newport,NP11 3AY,Caerphilly,01495 493044,info.Saercoed@swantoncare.com,5,SWANTON CARE & COMMUNITY LIMITED,24,05789785,18,Kate Townsley,,English,2025-02-04,SIN-00014781-BBPT,51.68149,-3.144575
St Mathews Residential home,Care Home Service,Adults Without Nursing,St Mathews Bungalow,Surgery Hill,Rhymney,NP22 5LR,Caerphilly,01495221666,nigel@prideincare.com,4,pride in care ltd,4,08251805,1,Marcus Hobbs,,English,2018-10-10,SIN-00015936-FCKY,51.759926,-3.28621
Ty Afon,Care Home Service,Adults Without Nursing,10 Fords Road,Fleur De Lis,Blackwood,NP12 3XS,Caerphilly,01443820379,riverwoodhousingltd@yahoo.co.uk,3,Riverwood Housing Ltd,3,06525310,2,Rebecca Hemmings,,English,2018-07-09,SIN-00008785-RYKD,51.664316,-3.22481
Ty Cornell,Care Home Service,Adults Without Nursing,47 Heol Fawr,Nelson,Treharris,CF46 6NP,Caerphilly,01443 451896,info.Tycornel@swantoncare.com,2,SWANTON CARE & COMMUNITY LIMITED,24,05789785,15,Kate Townsley,,English,2025-02-04,SIN-00014778-XWSR,51.648306,-3.280187
Ty Derwen,Care Home Service,Adults Without Nursing,Ty Derwen Residential Home,Kendon Road Crumlin,Newport,NP11 4PN,Caerphilly,01495243028,Andrew.lester27@btinternet.com,28,TL Care Homes Limited Liability Partnership,2,OC305900,1,Andrew Lester,,English,2018-08-02,SIN-00009801-FWRB,51.678779,-3.141354
Ty Gwernen,Care Home Service,Adults Without Nursing,Ty-gwernen,Sunnyview,Blackwood,NP12 0AL,Caerphilly,01495226492,matthewsteresa48@gmail.com,7,Enable Care Services (South Wales) Ltd,3,04376294,3,Alison Cooling,,English,2018-07-31,SIN-00008936-YJWR,51.69064,-3.191883
Ty Parc,Care Home Service,Adults Without Nursing,Ty Parc,Cardiff Road,Bargoed,CF81 8NN,Caerphilly,01443838535,neil.edwards@parchouse.wales,12,Parc House Ltd,1,12857355,1,Neil Edwards,,English,2021-08-05,SIN-00012346-LNFB,51.68397,-3.230201
White Rose Care Home,Care Home Service,Adults Without Nursing,White Rose Care Centre,White Rose Way,New Tredegar,NP24 6DF,Caerphilly,01443837183,shah@banyancarehomes.net,32,BANYAN CARE HOMES LIMITED,1,12468110,1,Shahnawaz Seehootoorah,,English,2021-03-29,SIN-00011834-TNMC,51.716771,-3.237157
Woodland Lodge,Care Home Service,Adults Without Nursing,Woodland Lodge Residential Home,Warne Street Fleur De Lis,Blackwood,NP12 3RS,Caerphilly,01443830480,Clare@cartreficwtchltd.co.uk,4,Cartrefi Cwtch Ltd,2,13516275,1,Nichola Evans,,English,2022-05-04,SIN-00012975-DXDG,51.661941,-3.21714
52 Narberth Road,Care Home Service,Adults Without Nursing,52 Narberth Road,,Cardiff,CF5 5EY,Cardiff,02920 202 509,simon@pilipalacare.co.uk,6,Pilipala Care Ltd,1,13666015,1,Simon Clarke,,English,2022-07-18,SIN-00013047-CVVQ,51.477486,-3.242391
61 Clive Street,Care Home Service,Adults Without Nursing,61 Clive Street,,Cardiff,CF11 7HL,Cardiff,02920228143,grangelodgeltd@outlook.com,6,Grangelodge Residential Home Ltd,2,08696567,1,Ibrahim Yahia,,English,2018-11-08,SIN-00009225-GJMF,51.466213,-3.187364
Belle Vue Care Home,Care Home Service,Adults Without Nursing,Belle Vue Care Home,207-211,Cardiff,CF24 1AJ,Cardiff,07932949300,danicocarenewportltd@gmail.com,39,DANICO CARE (NEW PORT) LTD,1,16912539,1,Samir Pyakuryal,,English,2026-04-01,SIN-00016120-TMSL,51.489753,-3.157829
Belle Vue South Wales Ltd,Care Home Service,Adults Without Nursing,Belle Vue Care Home,207-211 Newport Road,Cardiff,CF24 1AJ,Cardiff,02920484773,bellevue211@hotmail.com,39,BELLE VUE SOUTH WALES LTD,1,04656694,1,Abha Narayan,,English,2019-02-05,SIN-00009756-VPDN,51.489753,-3.157829
Cwtch Mawr,Care Home Service,Adults Without Nursing,87 Ty Fry Road,Rumney,Cardiff,CF3 3NS,Cardiff,02920029922,enquiries@orbis-group.co.uk,2,Orbis Education and Care Limited,8,05521347,8,Olubunmi Fabusuyi,,English,2018-07-24,SIN-00014812-TTBT,51.509525,-3.124741
Danybryn,Care Home Service,Adults With Nursing,Danybryn Home,Heol Isaf Radyr,Cardiff,CF15 8AJ,Cardiff,02920842237,danybryn.manager@shaw.co.uk,31,Shaw healthcare (Cambria) Limited,20,06281153,18,Liam Scanlon,,,2019-04-01,SIN-00014759-MJDC,51.518755,-3.256342
Glain House,Care Home Service,Adults With Nursing,Glain House,77-85 Newport Road,Cardiff,CF24 0AE,Cardiff,02920487488,heretohelp@carongroup.wales,72,Glain House Ltd,1,12474219,1,Raam Joshi,,English,2021-08-09,SIN-00012416-XNRB,51.485914,-3.163305
Grangelodge Residential Home Ltd,Care Home Service,Adults Without Nursing,Grange Lodge Residential Home Ltd,49-57 Clive Street,Cardiff,CF11 7HL,Cardiff,02920235414,grangelodgeltd@outlook.com,32,Grangelodge Residential Home Ltd,2,08696567,2,Ibrahim Yahia,,English,2018-11-08,SIN-00009226-FVQK,51.466213,-3.187364
Haven House Residential Care Home,Care Home Service,Adults Without Nursing,2 Pentre Street,,Cardiff,CF11 6QX,Cardiff,02920253176,info@crscare.com,15,CRS CARE LIMITED,2,08344282,2,Nathan Gahan,,English,2018-08-08,SIN-00009017-SSXS,51.471442,-3.185182
Hillcroft Residential Care Home,Care Home Service,Adults Without Nursing,Hillcroft Residential Home,9-11,Cardiff,CF5 2AJ,Cardiff,02920563669,hillcroft@farringtoncare.com,25,Hillcroft Residential Care Home Limited,1,FC041177,1,Paren Nathwani,,English,2024-03-31,SIN-00014504-FGCT,51.491183,-3.214689
Lewis Martin Court,Care Home Service,Adults With Nursing,Unit 3 Lewis Martin Court,Clos Parc Morgannwg,Cardiff,CF11 8AW,Cardiff,02920232203,sarah.davies@salutemcare.com,17,Salutem LD BidCo IV Limited,1,10988939,2,Ann Holt,,English,2019-09-06,SIN-00009649-PPVH,51.471796,-3.200727
Llys Cyncoed,Care Home Service,Adults Without Nursing,127 Cyncoed Road,,Cardiff,CF23 6AF,Cardiff,02920 684800,enquiries@careuk.com,99,Care UK Care Services Limited and WELL Cardiff OPCO Limited,2,02571516 and 05550888,1,Rachel Harvey,,,2025-04-23,SIN-00015171-XGRW,51.511763,-3.165376
Llys Herbert,Care Home Service,Adults Without Nursing,Ty-draw Road,Lisvane,Cardiff,CF14 0AW,Cardiff,03300 583247,enquiries@careuk.com,75,Care UK Care Services Limited and WELL Cardiff OPCO Limited,2,02571516 and 05550888,2,Rachel Harvey,,,2025-04-23,SIN-00015172-NVVJ,51.532093,-3.159091
Mill House Residential Care Home,Care Home Service,Adults Without Nursing,27 Pentre Street,,Cardiff,CF11 6QX,Cardiff,02920253176,info@crscare.com,4,CRS CARE LIMITED,2,08344282,1,Nathan Gahan,,English,2018-08-08,SIN-00012605-GQRM,51.471442,-3.185182
Oak House Care Home,Care Home Service,Adults Without Nursing,Oak House Residential Home,43-47,Cardiff,CF5 1FJ,Cardiff,02920377778,care@oakhousecare.co.uk,32,Oak House Care Limited,1,06790502,1,Rita Patel,,English,2018-09-19,SIN-00009206-QFGC,51.485136,-3.20822
PONTCANNA HOUSE,Care Home Service,Adults Without Nursing,Pontcanna House Residential Care Home,128-132,Cardiff,CF11 9PW,Cardiff,07932949300,info@danicocare.co.uk,27,DANICO CARE LTD,1,14161447,1,Samir Pyakuryal,,English,2025-09-05,SIN-00015705-WHSB,51.486672,-3.205712
Rees House,Care Home Service,Adults Without Nursing,3 & 5 Timothy Rees Close,,Cardiff,CF5 2RH,Cardiff,02920400657,info@gofalcymrucare.com,6,Gofal Cymru Care Ltd,6,06551427,4,Laura Rees,,English,2018-12-07,SIN-00010962-NXYD,51.505512,-3.242578
Romilly Nursing Home,Care Home Service,Adults With Nursing,Romilly Nursing Home,9 Romilly Road,Cardiff,CF5 1FH,Cardiff,02920231903,care@romillynursinghome.co.uk,73,Oakville Care Limited,1,04865826,1,Rita Patel,,English,2018-09-19,SIN-00009204-SFMS,51.485334,-3.206425
The Forge Care Centre,Care Home Service,Adults With Nursing,The Forge Care Centre,287 Cowbridge Road West,Cardiff,CF5 5TD,Cardiff,02920672000,forgecare@summerhillgroup.co.uk,76,Forge Care Homes Limited,1,06853531,1,David Baines,,English,2019-03-18,SIN-00009658-WPGM,51.475294,-3.249819
The Penylan Residential Hotel,Care Home Service,Adults Without Nursing,Penylan Residential Hotel,82 Pen-y-lan Road,Cardiff,CF23 5HX,Cardiff,02920496444,penylanhotel@aol.com,15,The Penylan Residential Hotel,1,,1,Ana Guerrero,,English,2018-09-20,SIN-00009221-RBGM,51.497206,-3.163405
Timothy House,Care Home Service,Adults With Nursing,2 Timothy Rees Close,,Cardiff,CF5 2RH,Cardiff,02920400657,info@gofalcymrucare.com,6,Gofal Cymru Care Ltd,6,06551427,7,Laura Rees,,English,2018-12-07,SIN-00009918-CXQF,51.505512,-3.242578
Ty Coch Care Home,Care Home Service,Adults With Nursing,Ty Coch Nursing Home,105 Station Road Llanishen,Cardiff,CF14 5UW,Cardiff,01923609609,centralsupport@amayacarehomes.co.uk,61,Amaya Care Homes (Ty Coch) Limited,1,16076294,1,Neena Gupta,,English,2025-06-27,SIN-00015614-JXWV,51.532474,-3.183077
Ty Hafod,Care Home Service,Adults With Nursing,Ty Hafod,Llantrisant Road,Cardiff,CF5 6JR,Cardiff,02920892266,donna@danesbrook.com,27,Ty Hafod Ltd,1,15193344,1,Donna Jones,,English,2024-06-28,SIN-00014596-MBTX,51.512486,-3.308251
Ty Melin Residential Home for the Elderly,Care Home Service,Adults Without Nursing,Ty Melin Residential Home,412-420,Cardiff,CF5 1JL,Cardiff,02920230657,tymelinresidentialhome@live.com,34,Mary Griffiths,1,,1,Mary Griffiths,,English,,SIN-00008808-VVYG,51.482926,-3.215795
Walker Road,Care Home Service,Adults Without Nursing,44 Walker Road,,Cardiff,CF24 2EL,Cardiff,02920218957,cerysrobins@hotmail.com,3,cerys  robins,1,,1,Cerys Robins,,English,,SIN-00008567-THLM,51.480738,-3.150213
Whitchurch House,Care Home Service,Adults Without Nursing,30 Erw Las,,Cardiff,CF14 1NL,Cardiff,02920538943,cjames@ioscare.co.uk,1,ios recruitment and training services limited,2,06941786,1,Christopher James,,English,2019-05-13,SIN-00015990-NHXB,51.508713,-3.221223
Awel Tywi,Care Home Service,Adults Without Nursing,Aweltywi Home,Bethlehem Road,Llandeilo,SA19 6SY,Carmarthenshire,01558 822556,aweltywicarehome@carmarthenshire.gov.uk,38,Carmarthenshire County Council Adults and Children's Services,10,,4,Heike Clarke,,,2018-09-20,SIN-00010032-VKXN,51.875265,-3.990939
Briarswood Residential Home,Care Home Service,Adults Without Nursing,67 Trosserch Road,Llangennech,Llanelli,SA14 8AX,Carmarthenshire,01554820585,Briarswood@hotmail.com,6,Elizabeth Thomas,1,,1,,,English,,SIN-00009399-KPFL,51.705173,-4.093373
Brookfield House,Care Home Service,Adults Without Nursing,Brookfield House,Station Road St. Clears,Carmarthen,SA33 4BZ,Carmarthenshire,01994231093,cillian@fronhaul.uk,23,Fronhaul and Brookfield Care Home Ltd,2,06282045,2,Dhanraj Boodeny,,,2018-09-24,SIN-00010141-QGCS,51.826995,-4.493151
Bryn Illytdd ( Care by Morris ltd ),Care Home Service,Adults Without Nursing,Bryn Illtyd Residential Home,Heol Y Mynydd Pembrey,Burry Port,SA16 0AJ,Carmarthenshire,01554832462,areamanager.brynilltyd@gmail.com,39,Bryn illtyd care home Ltd,1,16438892,1,Scott Morris,,,2025-07-25,SIN-00015774-DYXV,51.689615,-4.274775
Bryn y Wawr,Care Home Service,Adults Without Nursing,6 New Road,,Llandeilo,SA19 6DB,Carmarthenshire,01558822763,BarnabyCunningham@cygnethealth.co.uk,10,Cygnet Care Services Limited,2,02683377,1,Stephanie Coxon,,English,2025-05-29,SIN-00015469-LKQN,51.88455,-3.992279
Brynhelyg Care Home,Care Home Service,Adults Without Nursing,64 Cwmfelin Road,,Llanelli,SA14 9LR,Carmarthenshire,01554756393,brynhelyg.manager@gmail.com,26,Ovalbeech Limited,1,01909329,1,Shanavas Rahim,,English,2018-06-20,SIN-00008894-WNNL,51.673377,-4.102349
Bwthyn Talbot,Care Home Service,Adults Without Nursing,Talbot Cottage,Tramway Lane,Llanelli,SA15 4AJ,Carmarthenshire,01554700758,Lee.bates@carewithoutcompromise.org.uk,7,Care Without Compromise Limited,6,06511464,3,Lee Bates,,English,2018-12-31,SIN-00016004-FWXK,51.687787,-4.210414
