Service name,Service type,Sub-type,Address line 1,Address line 2,Town,Postcode,Local authority,Phone,Email,Registered places,Operator (Provider),Operator's total sites,Company number,CIW approved services (provider),Responsible individual,Registered manager,Operating language,Provider registered,CIW service URN,Latitude,Longitude
Green Gables,Care Home Service,Adults Without Nursing,Green Gables,Pen-y-fai Road,Bridgend,CF32 9AA,Bridgend,01656 720809,info.Greengables@swantoncare.com,5,SWANTON CARE & COMMUNITY LIMITED,24,05789785,2,Kate Townsley,,English,2025-02-04,SIN-00014765-QGCM,51.535479,-3.595841
Home Instead Bridgend,Domiciliary Support Service,,Number Two Waterton Park,,Bridgend,CF31 3PH,Bridgend,01656338810,carys.owen@bridgend.homeinstead.co.uk,0,W.O Care Limited,2,14412822,2,Carys Owen,,English,2023-08-17,SIN-00014421-VBSC,51.493204,-3.549031
Home Instead Bridgend,Domiciliary Support Service,,Number Two Waterton Park,,Bridgend,CF31 3PH,Bridgend,01656 338810,carys.owen@bridgend.homeinstead.co.uk,0,W.O Care Limited,2,14412822,1,Carys Owen,,English,2023-08-17,SIN-00013947-YXPM,51.493204,-3.549031
Link-Up Care Ltd,Domiciliary Support Service,,"Office 25, Llynfi Enterprise Centre",Heol Ty Gwyn Industrial Estate,Maesteg,CF34 0BQ,Bridgend,01656812796,rnewmanelc@aol.co.uk,0,Link-Up Care,1,07258416,1,Rachel Newman,,English,2019-04-04,SIN-00010164-SNBH,51.613325,-3.669561
Llys Gwyn Residential Home,Care Home Service,Adults Without Nursing,Llys Gwyn Residential Home,Heol Broom Maudlam,Bridgend,CF33 4PN,Bridgend,01656743666,contact@llysgwyn.com,31,Grayson Enterprises Ltd,1,01288163,1,Swarnlata Bansal,,English,2018-12-21,SIN-00008795-QMGP,51.521991,-3.719278
Newton Care Home,Care Home Service,Adults Without Nursing,Newton Care Home,280-288,Porthcawl,CF36 5PL,Bridgend,01656771022,newtoncare@hotmail.com,35,breaksea residential homes ltd,2,04117189,1,Marcus Rossini,,English,2019-05-29,SIN-00009950-TLKD,51.483242,-3.680202
Oakley House,Care Home Service,Adults Without Nursing,11 Mary Street,,Porthcawl,CF36 3YL,Bridgend,01656783203,oakleymanager@positivelifestylesporthcawl.com,5,Positive Lifestyles (Porthcawl) Limited,3,04683471,2,Emma Anyadike,,English,2019-07-17,SIN-00010426-SDSY,51.47723,-3.70547
Pen Y Fai House,Care Home Service,Adults Without Nursing,Penyfai House,Pen-y-fai Road,Bridgend,CF32 9AA,Bridgend,01656 729885,info.Penyfaihouse@swantoncare.com,1,SWANTON CARE & COMMUNITY LIMITED,24,05789785,3,Kate Townsley,,English,2025-02-04,SIN-00014766-CCSD,51.535479,-3.595841
Positive Lifestyles Porthcawl Ltd,Domiciliary Support Service,,Office 5,16-18,Porthcawl,CF36 3YA,Bridgend,07949721875,dommanager@positivelifetylesporthcawl.com,0,Positive Lifestyles (Porthcawl) Limited,3,04683471,1,Emma Anyadike,,English,2019-07-17,SIN-00013353-HYBG,51.47792,-3.705035
Positive Lifestyles Porthcawl Ltd,Domiciliary Support Service,,Office 5,16-18,Porthcawl,CF36 3YA,Bridgend,07949721875,dommanager@positivelifestylesporthcawl.com,0,Positive Lifestyles (Porthcawl) Limited,3,04683471,3,Emma Anyadike,,English,2019-07-17,SIN-00010427-XRCF,51.47792,-3.705035
Rachel Cares,Domiciliary Support Service,,Pool Farm,,Bridgend,CF33 4PT,Bridgend,07426989935,rachelcaresagency@gmail.com,0,Rachel Cares LTD,1,14060288,1,John Young,,English,2022-07-23,SIN-00013138-KXMT,51.517438,-3.726847
Recruit2healthcare,Domiciliary Support Service,,Unit 8b Bridgened Business Centre,Bridgend Industrial Estate,Bridgend,CF31 3SH,Bridgend,01656 661114,info@recruit2healthcare.com,0,Recruit2healthcare Ltd,1,10802673,1,Patrick Phillips,,English,2025-05-22,SIN-00015115-KDXJ,51.501866,-3.540031
Resolution Care Services Ltd,Domiciliary Support Service,,Ground Floor Offices,1 Heol Mostyn Village Farm Industrial Estate,Bridgend,CF33 6BJ,Bridgend,01656502506,info@resolutioncareservices.co.uk,0,Resolution Care Services Ltd,2,13046029,1,Shaun Lloyd,,English,2021-07-05,SIN-00012469-PPPD,51.526392,-3.687497
Resolution Care Services Ltd,Domiciliary Support Service,,Ground Floor Offices,1 Heol Mostyn Village Farm Industrial Estate,Bridgend,CF33 6BJ,Bridgend,01656502506,info@resolutioncareservices.co.uk,0,Resolution Care Services Ltd,2,13046029,2,Shaun Lloyd,,English,2021-07-05,SIN-00012744-SVHJ,51.526392,-3.687497
Serendipity Care and Support Ltd,Domiciliary Support Service,,Serendipity,42 New Road,Porthcawl,CF36 5DN,Bridgend,01656760840,Matthew.Penpraze@serendipitycare.com,0,Serendipity Care and Support Ltd,2,07671995,2,Matthew Penpraze,,English,2018-10-04,SIN-00009851-FQHD,51.480614,-3.700383
Stars Domiciliary Care Ltd,Domiciliary Support Service,,S T A R S Domiciliary Care Ltd,10 Garth Drive Brackla Industrial Estate,Bridgend,CF31 2AQ,Bridgend,01656333023,rob.sage@starscare.co.uk,0,S.T.A.R.S. Domiciliary Care Ltd,1,08282012,1,Robert Sage,,English,2019-03-01,SIN-00010160-QHCF,51.518756,-3.560895
Steddy Ltd,Domiciliary Support Service,,Steddy & Associates,Trewsfield,Bridgend,CF31 4LH,Bridgend,01656668775,ruth@disabilityaids.net,0,Steddy Ltd,4,05014849,2,Robert Steddy,,English,2018-08-22,SIN-00008920-WSQL,51.515154,-3.586067
Steddy Ltd,Domiciliary Support Service,,Steddy & Associates,Trewsfield,Bridgend,CF31 4LH,Bridgend,01656668775,ruth@disabilityaids.net,0,Steddy Ltd,4,05014849,1,Robert Steddy,,English,2018-08-22,SIN-00008919-GDLM,51.515154,-3.586067
Sunny Hill,Care Home Service,Adults Without Nursing,Roger's Lane,Llangewydd,Bridgend,CF32 0EU,Bridgend,01656 670836,info.Sunnyhill@swantoncare.com,1,SWANTON CARE & COMMUNITY LIMITED,24,05789785,4,Kate Townsley,,English,2025-02-04,SIN-00014767-HWPX,51.527473,-3.637196
The Oaklands Residential Home,Care Home Service,Adults Without Nursing,The Oaklands Residential Home,2 Oaklands Drive,Bridgend,CF31 4SH,Bridgend,01656665459,louise@oaklandsemail.co.uk,18,The Oaklands Residential Home,1,,1,Louise Bertorelli,,English,2019-04-16,SIN-00009659-SPTX,51.50576,-3.59319
The Old Vicarage,Care Home Service,Adults Without Nursing,The Old Vicarage,,Bridgend,CF35 6EL,Bridgend,01656 841508,info.Theoldvicarage@swantoncare.com,4,SWANTON CARE & COMMUNITY LIMITED,24,05789785,5,Kate Townsley,,English,2025-02-04,SIN-00014768-NGJV,51.574789,-3.506705
The Willows,Care Home Service,Adults Without Nursing,28 The Willows,Brackla,Bridgend,CF31 2HD,Bridgend,01656659933,tom@ahcare.co.uk,4,Amethyst Healthcare Ltd,5,06132655,3,Helen Randall,,English,2019-04-09,SIN-00008923-DDLG,51.507223,-3.565357
Touchstone Support Services Limited Gwent,Domiciliary Support Service,,Unit 36-37,Enterprise Centre Bryn Road,Bridgend,CF32 9BS,Bridgend,07784799850,jock.andrew@touchstone-ss.co.uk,0,Touchstone Support Services Ltd,4,13274416,1,William Andrew,,English,2023-10-03,SIN-00015953-BRNF,51.54493,-3.595855
Touchstone Support Services Limited West Glamorgan,Domiciliary Support Service,,Unit 36-37,Enterprise Centre Bryn Road,Bridgend,CF32 9BS,Bridgend,07784799850,jock.andrew@touchstone-ss.co.uk,0,Touchstone Support Services Ltd,4,13274416,3,William Andrew,,English,2023-10-03,SIN-00015954-BHRK,51.54493,-3.595855
"Touchstone Support Services Ltd., Cardiff and Vale",Domiciliary Support Service,,Unit 36-37,Enterprise Centre Bryn Road,Bridgend,CF32 9BS,Bridgend,07784799850,jock.andrew@touchstone-ss.co.uk,0,Touchstone Support Services Ltd,4,13274416,4,William Andrew,,English,2023-10-03,SIN-00016104-VLSZ,51.54493,-3.595855
Trinity Care and Support,Domiciliary Support Service,,Trinity Church,John Street,Porthcawl,CF36 3DT,Bridgend,01656782104,info@trinitycareandsupport.org.uk,0,Trinity Care and Support,2,06629868,1,Elizabeth Griffiths,,English,2019-03-05,SIN-00014975-YNJN,51.479818,-3.703132
Ty Cwm Ogwr Residential Home for Older People,Care Home Service,Adults Without Nursing,Ty Cwm Ogwr,Dan-yr-heol,Bridgend,CF32 7HY,Bridgend,01656815054,pstycwmogwrrc@bridgend.gov.uk,28,Bridgend County Borough Council Adults and Children's Services,6,,5,Jane Lewis,,,2018-09-21,SIN-00009506-HQKF,51.578083,-3.545175
Ty Cysgu,Care Home Service,Adults Without Nursing,153 Hendre Road,Pencoed,Bridgend,CF35 6TN,Bridgend,01656 722769,info@tyteulu.co.uk,3,Ty Cysgu Limited,3,08742725,3,Lynda Hale,,English,2018-10-24,SIN-00009750-SGXY,51.525081,-3.511305
Ty Cysgu Domiciliary,Domiciliary Support Service,,Ty Morfa,,Bridgend,CF32 9AW,Bridgend,01656 722769,hello@tycysgu.com,0,Ty Cysgu Limited,3,08742725,2,Lynda Hale,,English,2018-10-24,SIN-00013888-CKBG,51.539203,-3.595784
Ty Cysgu Domiciliary,Domiciliary Support Service,,Ty Morfa,,Bridgend,CF32 9AW,Bridgend,01656722769,hello@tycysgu.com,0,Ty Cysgu Limited,3,08742725,1,Lynda Hale,,English,2018-10-24,SIN-00012779-DCTP,51.539203,-3.595784
Ty Ynysawdre,Care Home Service,Adults Without Nursing,Ty Ynysawdre,Heol-yr-ysgol Tondu,Bridgend,CF32 9EG,Bridgend,01656754951,kay.rees@bridgend.gov.uk,15,Bridgend County Borough Council Adults and Children's Services,6,,12,Jane Lewis,,,2018-09-21,SIN-00010553-FPQT,51.546857,-3.589072
Caafi Health Care Limited,Domiciliary Support Service,,Unit 1.1,Brunswick Court,Bristol,BS2 8PE,"Bristol, City of",01172350410,info@caafihealth.com,0,Caafi Health Care Limited,1,13310526,1,Asha Mohamed,,English,2026-03-18,SIN-00016061-GPXT,51.460378,-2.587275
Abbey Lodge,Care Home Service,Adults Without Nursing,3 Llys Deri Commercial Street,Ynysddu,Newport,NP11 7JA,Caerphilly,01495200698,wendy.gloster@abbeyambitions.co.uk,4,Abbey Ambitions,2,,1,Samuel Gloster,,English,2018-08-17,SIN-00008540-KWGC,51.626172,-3.185513
Achieve together Ltd - DSS Gwent,Domiciliary Support Service,,Suite 6,Tredomen Gateway,Hengoed,CF82 7EH,Caerphilly,01443810430,rachael.hawkins@achievetogether.co.uk,0,Achieve together Ltd,17,03153442,7,Rachael Hawkins,,English,2019-01-17,SIN-00012445-FQCJ,51.643737,-3.245949
Achieve Together Ltd - DSS West Glamorgan,Domiciliary Support Service,,6 Tredomen Gateway,Tredomen Business Park,Hengoed,CF82 7EH,Caerphilly,01443810430,rachael.hawkins@achievetogether.co.uk,0,Achieve together Ltd,17,03153442,3,rachael Hawkins,,English,2019-01-17,SIN-00012545-NBBM,51.643737,-3.245949
Bargoed Care Home,Care Home Service,Adults With Nursing,Bargoed Care Home,Heol Fargoed,Bargoed,CF81 8PQ,Caerphilly,01443879005,manager@bargoedcare.co.uk,45,Omnia Care Home Group Ltd,1,12563504,1,Tariq Khan,,,2020-11-02,SIN-00012058-YCBW,51.683829,-3.233322
Beechlea,Care Home Service,Adults Without Nursing,14 Pantycefn Road,Markham,Blackwood,NP12 0QD,Caerphilly,01495221583,wendy.gloster@abbeyambitions.co.uk,4,Abbey Ambitions,2,,2,Samuel Gloster,,English,2018-08-17,SIN-00008541-RVYX,51.703556,-3.207447
Bramble Cottage,Care Home Service,Adults Without Nursing,Bramble Cottage,Cwm-yr-allt Lane,Hengoed,CF82 8AW,Caerphilly,01443 822709,info.Bramblecottage@swantoncare.com,3,SWANTON CARE & COMMUNITY LIMITED,24,05789785,16,Kate Townsley,,English,2025-02-04,SIN-00014779-FXXH,51.667927,-3.235478
Comfort Care Homes (Glan Yr Afon) Ltd,Care Home Service,Adults With Nursing,Glan-yr-afon Care Home,Glan-yr-afon Lane Fleur De Lis,Blackwood,NP12 3WA,Caerphilly,01443835196,info.glanyrafoncarehome@gmail.com,39,Comfort Care Homes (Glan Yr Afon) Ltd,1,08689105,1,Swarnlata Bansal,,English,2018-12-17,SIN-00009997-VPXP,51.666187,-3.225641
Crown Lodge,Care Home Service,Adults Without Nursing,1 Crown Street,Crumlin,Newport,NP11 4PR,Caerphilly,01495246671,morgan@cartreficwtchltd.co.uk,4,Cartrefi Cwtch Ltd,2,13516275,2,Nichola Evans,,English,2022-05-04,SIN-00012976-MRTG,51.676686,-3.140101
Cwm Hyfryd,Care Home Service,Adults Without Nursing,48 Severn Road,Pontllanfraith,Blackwood,NP12 2GA,Caerphilly,01495227703,Annmarie.harris@achievetogether.co.uk,5,Achieve together Ltd,17,03153442,2,rachael Hawkins,,English,2019-01-17,SIN-00012457-HMLC,51.652561,-3.205165
Encompass Care,Domiciliary Support Service,,1 West View Crescent,Oakdale,Blackwood,NP12 0JG,Caerphilly,01495228994,encompasscarewales@yahoo.co.uk,0,Angela  Evans-Manning,1,,1,Angela Evans-Manning,,English,,SIN-00010111-FSQL,51.677848,-3.181843
Forest House Residential Care Home for Adults with Learning Difficulties,Care Home Service,Adults Without Nursing,2 Hafod Tudor Terrace,Wattsville,Newport,NP11 7QQ,Caerphilly,01495272782,dhunt4@sky.com,3,Dean Hunt,1,,1,Dean Hunt,,English,,SIN-00009125-PVDD,51.616732,-3.151136
Glencourt,Care Home Service,Adults Without Nursing,54 Hillside Park,,Bargoed,CF81 8NL,Caerphilly,01443 821091,jessica.hopkins@achievetogether.co.uk,5,Achieve together Ltd,17,03153442,10,rachael Hawkins,,English,2019-01-17,SIN-00012502-PBBX,51.682481,-3.231578
Gofal Blaenau Gwent Domiciliary Care Service,Domiciliary Support Service,,Gofal Cymru Ltd,Unit 2c,Blackwood,NP12 4AB,Caerphilly,01495245802,,0,Gofal Cymru,1,02546880,1,Ewan Hilton,,,2019-05-30,SIN-00010545-NWFF,51.682544,-3.182456
Hill View Care Home Ltd,Care Home Service,Adults Without Nursing,Hill View Care Home,Commercial Street,Bargoed,CF81 9BU,Caerphilly,01443803493,admin@hillviewcarehome.co.uk,34,HILL VIEW CARE HOME LIMITED,2,10072102,1,Amjad Ali,,English,2018-12-17,SIN-00010291-JCMB,51.693448,-3.224135
Home Assistance Reablement Team and Supported Living,Domiciliary Support Service,,Caerphilly County Borough Council,Unit B Graddfa House,Hengoed,CF82 7EP,Caerphilly,01443873565,willij6@caerphilly.gov.uk,0,Caerphilly County Borough Council Adults and Children's Services,10,,5,Joanne Williams,,English,2018-12-14,SIN-00009387-YGKL,51.63256,-3.235745
Home From Home Support,Domiciliary Support Service,,Home From Home Support Ltd,Ty Mynyddislwyn Environment Centre,Blackwood,NP12 2BH,Caerphilly,01495 239341,Info@homefromhomesupport.com,0,Home From Home Support LTD,1,14317341,1,Samantha Reeves,,English,2025-05-01,SIN-00015300-XCTS,51.652834,-3.190703
James Street Bungalow,Care Home Service,Adults Without Nursing,76 James Street,Markham,Blackwood,NP12 0QP,Caerphilly,07388 445902,sgriffiths@prospersupport.co.uk,3,PROSPER CARE & SUPPORT LIMITED,5,12589173,3,Stuart Griffiths,,English,2021-11-22,SIN-00016087-SKVR,51.701973,-3.201341
Kind Hands Care Ltd,Domiciliary Support Service,,90 Pen-y-bryn,,Caerphilly,CF83 2LA,Caerphilly,07805211992,kindhandscareltd@gmail.com,0,Kind Hands Care Ltd,2,14089549,1,Yvette Rees,,English,2022-10-10,SIN-00013222-XWVJ,51.59244,-3.243131
Kind Hands Care Ltd (Cardiff & Vale),Domiciliary Support Service,,90 Pen-y-bryn,,Caerphilly,CF83 2LA,Caerphilly,07805211992,kindhandscareltd@gmail.com,0,Kind Hands Care Ltd,2,14089549,2,Yvette Rees,,English,2022-10-10,SIN-00013471-XDDR,51.59244,-3.243131
Liberty Care Ltd,Domiciliary Support Service,,Liberty Care Ltd,Newbridge House 75-77,Blackwood,NP12 1BA,Caerphilly,01495224888,info@libertycareltd.com,0,Liberty Care limited,1,05663944,1,Kimberley Williams,,English,2018-11-08,SIN-00010052-HDCM,51.669024,-3.195509
Lynton Community Care - Caerphilly,Domiciliary Support Service,,Lynton Community Care Ltd,Unit A,Hengoed,CF82 7DW,Caerphilly,02920024499,kellyjones@lyntoncare.co.uk,0,Lynton Community Care Ltd,2,04343566,1,Kelly Jones,,English,2019-04-10,SIN-00013760-XBPH,51.640083,-3.23605
Millbrook Care Home Ltd,Care Home Service,Adults Without Nursing,Millbrook Residential Home,Gelligroes Road Pontllanfraith,Blackwood,NP12 2JU,Caerphilly,01495225861,milbrookhome@gmail.com,50,HILL VIEW CARE HOME LIMITED,2,10072102,2,Amjad Ali,,English,2018-12-17,SIN-00010292-FXQX,51.650959,-3.190292
Oak View Nursing Home,Care Home Service,Adults With Nursing,Oak View Nursing Home,Southend Terrace Pontlottyn,Bargoed,CF81 9RN,Caerphilly,01685707031,cerys.morris@oakviewhome.co.uk,16,Oak View Pontlottyn Limited,1,13430101,1,Cerys Morris,,English,2021-11-30,SIN-00012780-JHYN,51.740702,-3.275482
Oakdale Manor,Care Home Service,Adults Without Nursing,Oakdale Manor Residential Home,Rhiw Syr Dafydd,Blackwood,NP12 0JJ,Caerphilly,01495230900,Oakdalemanor@btconnect.com,31,Forest Gate Healthcare Ltd,3,05921531,2,Ian Hutchinson,,English,2019-05-13,SIN-00010108-CYJG,51.681281,-3.179271
Pen Y Coed,Care Home Service,Adults Without Nursing,Pen Y Coed,Parkway,Newport,NP11 3EF,Caerphilly,01495 212712,info.Penycoed@swantoncare.com,6,SWANTON CARE & COMMUNITY LIMITED,24,05789785,17,Kate Townsley,,English,2025-02-04,SIN-00014780-BNMF,51.693322,-3.159327
Pride in Care Residential Home,Care Home Service,Adults Without Nursing,Pride In Care Ltd,Newport House,Tredegar,NP22 5AE,Caerphilly,01685652640,claire@prideincare.com,5,pride in care ltd,4,08251805,4,Nigel Hobbs,,English,2018-10-10,SIN-00009527-LHRG,51.746187,-3.273783
Rachel Kathryn Residential Home,Care Home Service,Adults Without Nursing,Bridge Farm,High Street,Blackwood,NP12 0HG,Caerphilly,01495221320,claire@prideincare.com,4,Dawn Hobbs,1,,1,Elizabeth Hobbs,,English,,SIN-00008571-YFTB,51.692411,-3.191047
Saer Coed,Care Home Service,Adults Without Nursing,Saer Coed,Load Of Hay Road,Newport,NP11 3AY,Caerphilly,01495 493044,info.Saercoed@swantoncare.com,5,SWANTON CARE & COMMUNITY LIMITED,24,05789785,18,Kate Townsley,,English,2025-02-04,SIN-00014781-BBPT,51.68149,-3.144575
Sense Tonypandy Domiciliary Support Services,Domiciliary Support Service,,Touchbase Cymru (wales),Caerphilly Business Park,Caerphilly,CF83 3ED,Caerphilly,01443801148,cherno.bah@sense.org.uk,0,"SENSE, The National Deafblind and Rubella Association",1,01825301,1,Simon Carnell,,English,2019-07-11,SIN-00010307-LGNQ,51.571722,-3.205336
St Mathews Residential home,Care Home Service,Adults Without Nursing,St Mathews Bungalow,Surgery Hill,Rhymney,NP22 5LR,Caerphilly,01495221666,nigel@prideincare.com,4,pride in care ltd,4,08251805,1,Marcus Hobbs,,English,2018-10-10,SIN-00015936-FCKY,51.759926,-3.28621
Ty Afon,Care Home Service,Adults Without Nursing,10 Fords Road,Fleur De Lis,Blackwood,NP12 3XS,Caerphilly,01443820379,riverwoodhousingltd@yahoo.co.uk,3,Riverwood Housing Ltd,3,06525310,2,Rebecca Hemmings,,English,2018-07-09,SIN-00008785-RYKD,51.664316,-3.22481
Ty Cornell,Care Home Service,Adults Without Nursing,47 Heol Fawr,Nelson,Treharris,CF46 6NP,Caerphilly,01443 451896,info.Tycornel@swantoncare.com,2,SWANTON CARE & COMMUNITY LIMITED,24,05789785,15,Kate Townsley,,English,2025-02-04,SIN-00014778-XWSR,51.648306,-3.280187
Ty Derwen,Care Home Service,Adults Without Nursing,Ty Derwen Residential Home,Kendon Road Crumlin,Newport,NP11 4PN,Caerphilly,01495243028,Andrew.lester27@btinternet.com,28,TL Care Homes Limited Liability Partnership,2,OC305900,1,Andrew Lester,,English,2018-08-02,SIN-00009801-FWRB,51.678779,-3.141354
